ID,Country,Denomination,Currency,Symbol,Year,FrontDesign,BackDesign,Designer,Quantity,,,,,,,,
TESCO Blue Token,UK,,,,2015,"Raised ""TESCO"" lettering and border",Raised border,TESCO,2,,,,,,,,
Oval Sea Life Turtle,UK,,,,2025,"Turtle with the Sea Life logo on the top and ""Manchester"" on the bottom",,,1,,,,,,,,
FA Cup - Blackburn Rovers FC,UK,,,,1872 - 1972,Blackburn Rovers FC Club Shield,List of Wins in the FA Cup,Esso,1,,,,,,,,
1p Royal Arms,UK,1,Pence,p,2014,Elizabeth II,The Royal Arms,Matthew Dent,1,,,,,,,,
1p Crowned Portcullis with Chains,UK,1,Pence,p,1996,Elizabeth II,Crowned Portcullis with Chains,Christopher Ironside,2,,,,,,,,
2p Royal Arms,UK,2,Pence,p,2016,Elizabeth II,The Royal Arms,Matthew Dent,2,,,,,,,,
2p New Pence,UK,2,Pence,p,1978,Elizabeth II,New Pence,Matthew Dent,1,,,,,,,,
2p Two Pence,UK,2,Pence,p,2007,Elizabeth II,Two Pence,Matthew Dent,1,,,,,,,,
5p Royal Arms,UK,5,Pence,p,2013,Elizabeth II,The Royal Arms,Matthew Dent,2,,,,,,,,
5p Oak Sprig,UK,5,Pence,p,2023,Charles III,An Oak Sprig,Dan Thorne,2,,,,,,,,
10p Royal Arms,UK,10,Pence,p,2014,Elizabeth II,The Royal Arms,Matthew Dent,1,,,,,,,,
10p Cannon,UK,10,Pence,p,2007,Elizabeth II,A cannon (specifically the Koehler Depressing Carriage) to honor the 18th-century blockade.,Front: Raphael David Maklouf. Back: Philip Nathan.,1,,,,,,,,
10p Stonehenge,UK,10,Pence,p,2019,Elizabeth II,Stonehenge with the letter S above it,The Royal Mint,1,,,,,,,,
20p Royal Arms,UK,20,Pence,p,2013,Elizabeth II,The Royal Arms,Matthew Dent,1,,,,,,,,
Her Majesty Queen Elizabeth II,UK,50,Pence,p,2022,Charles III,Her Majesty Queen Elizabeth II,Edgar Fuller & Cecil Thomas,9,,,,,,,,
Withdrawal from the European Union,UK,50,Pence,p,2020,Elizabeth II,Withdrawal from the European Union,The Royal Mint Engraving Team ,5,,,,,,,,
Sherlock Holmes,UK,50,Pence,p,2019,Elizabeth II,Sherlock Holmes,Stephen Raw,4,,,,,,,,
Diversity Built Britain,UK,50,Pence,p,2020,Elizabeth II,Diversity Built Britain,Dominique Evans,4,,,,,,,,
50p Royal Arms,UK,50,Pence,p,2013,Elizabeth II,The Royal Arms,Matthew Dent,3,,,,,,,,
The Glasgow 2014 Commonwealth Games,UK,50,Pence,p,2014,Elizabeth II,The Glasgow 2014 Commonwealth Games,Alex Loudon with Dan Flashman,3,,,,,,,,
The 100th Anniversary of the Passing of the Representation of the People Act 1918,UK,50,Pence,p,2018,Elizabeth II,The 100th Anniversary of the Passing of the Representation of the People Act 1918,Stephen Taylor,2,,,,,,,,
The Platinum Jubilee of Her Majesty Queen Elizabeth II,UK,50,Pence,p,2022,Elizabeth II,The Platinum Jubilee of Her Majesty Queen Elizabeth II,Osborne Ross,2,,,,,,,,
The Centenary of the Foundation of the Scouting Movement 1907,UK,50,Pence,p,2007,Elizabeth II,The Centenary of the Foundation of the Scouting Movement 1907,Kerry Jones,2,,,,,,,,
The 150th Anniversary of the Institution of the Victoria Cross,UK,50,Pence,p,2006,Elizabeth II,The 150th Anniversary of the Institution of the Victoria Cross,Clive Duncan,2,,,,,,,,
Britannia - Fifty Pence,UK,50,Pence,p,1997,Elizabeth II,Britannia - Fifty Pence,Christopher Ironside,2,,,,,,,,
The 150th Anniversary of the Birth of Beatrix Potter 1866 - 1948,UK,50,Pence,p,2016,Elizabeth II,The 150th Anniversary of the Birth of Beatrix Potter 1866 - 1948,Emma Noble,1,,,,,,,,
Archery,UK,50,Pence,p,2011,Elizabeth II,Archery,Piotr Powaga,1,,,,,,,,
Battle of Hastings 1066,UK,50,Pence,p,2016,Elizabeth II,Battle of Hastings 1066, John Bergdahl,1,,,,,,,,
Celebrating 50 Years of Pride,UK,50,Pence,p,2022,Elizabeth II,Celebrating 50 Years of Pride, Dominique Holmes,1,,,,,,,,
Celebrating 100 Years of Girlguiding UK,UK,50,Pence,p,2010,Elizabeth II,Celebrating 100 Years of Girlguiding UK,Jonathan Evans and Donna Hainan,1,,,,,,,,
The 150th Anniversary of the Public Libraries Act 1850 - 2000,UK,50,Pence,p,2000,Elizabeth II,The 150th Anniversary of the Public Libraries Act 1850 - 2000,Mary Milner Dickens,1,,,,,,,,
The 100th Anniversary of the Birth of Christopher Ironside,UK,50,Pence,p,2013,Elizabeth II,The 100th Anniversary of the Birth of Christopher Ironside,Christopher Ironside,1,,,,,,,,
The 250th Anniversary of Samuel Johnson's Dictionary of the English Language,UK,50,Pence,p,2005,Elizabeth II,The 250th Anniversary of Samuel Johnson's Dictionary of the English Language,Tom Phillips,1,,,,,,,,
The 50th Anniversary of the First Four-Minute Mile by Roger Bannister,UK,50,Pence,p,2004,Elizabeth II,The 50th Anniversary of the First Four-Minute Mile by Roger Bannister,James Butler,1,,,,,,,,
The Coronation of His Majesty King Charles III,UK,50,Pence,p,2023,Charles III,The Coronation of His Majesty King Charles III,Natasha Jenkins,1,,,,,,,,
"The United Kingdom's Presidency of the European Union, and the 25th Anniversary of the United Kingdom's Accession to the European Economic Community",UK,50,Pence,p,1998,Elizabeth II,"The United Kingdom's Presidency of the European Union, and the 25th Anniversary of the United Kingdom's Accession to the European Economic Community",John Mills,1,,,,,,,,
The 75th Anniversary of the Battle of Britain,UK,50,Pence,p,2015,Elizabeth II,The 75th Anniversary of the Battle of Britain,Gary Breeze,1,,,,,,,,
Paddington at the Tower of London,UK,50,Pence,p,2019,Elizabeth II,Paddington at the Tower of London,David Knapton,6,,,,,,,,
Paddington at the Palace,UK,50,Pence,p,2018,Elizabeth II,Paddington at the Palace,David Knapton,5,,,,,,,,
Paddington at St. Paul's Cathedral,UK,50,Pence,p,2019,Elizabeth II,Paddington at St. Paul's Cathedral,David Knapton,1,,,,,,,,
Beatrix Potter - Benjamin Bunny,UK,50,Pence,p,2017,Elizabeth II,Beatrix Potter - Benjamin Bunny,Emma Noble,4,,,,,,,,
Beatrix Potter - Mr. Jeremy Fisher,UK,50,Pence,p,2017,Elizabeth II,Beatrix Potter - Mr. Jeremy Fisher,Emma Noble,5,,,,,,,,
Beatrix Potter - Tom Kitten,UK,50,Pence,p,2017,Elizabeth II,Beatrix Potter - Tom Kitten,Emma Noble,1,,,,,,,,
